Feature Index,Importance
553,0.000698229451192554
724,0.0006968187207919836
73,0.000695519217752057
823,0.000690485765417013
133,0.0006857357715630103
800,0.0006838852947867314
1005,0.0006828368925920276
336,0.000682614382359298
94,0.000679659726785436
505,0.0006768044269765317
636,0.0006761008127385714
555,0.0006753132180442403
398,0.0006732215497657008
762,0.000671595020645737
733,0.0006703703653886439
459,0.0006693788298797972
324,0.0006594411038541938
1001,0.0006540673842799855
211,0.0006501747281637714
635,0.0006442118560508778
788,0.0006392913236262709
446,0.0006386913858148913
924,0.000632187050197172
1009,0.0006288234215754819
855,0.0006230934429671265
721,0.0006228954274267149
24,0.0006223180650290476
110,0.0006215140894675098
1016,0.0006182972636841019
277,0.0006112165919375242
671,0.0006110647929787667
1027,0.0006080285336506895
337,0.0005957232045269703
1008,0.000593456395986475
384,0.0005927432824109377
433,0.000592601282471446
882,0.0005846581554023275
570,0.0005802262555476164
461,0.0005722722801567687
436,0.0005711683615000219
545,0.0005408413207111151
342,0.000537893670354336
559,0.0005344394812067549
938,0.0005334533095347907
783,0.0005297169409787506
763,0.0005268430018876798
307,0.0005260857651119765
445,0.0005110496149292647
742,0.0004978445094819993
416,0.000493647988411394
634,0.0004913760249279051
234,0.0004909231304354652
765,0.0004886145665020495
315,0.0004872695490835609
206,0.0004844177404695868
732,0.00048119988917875414
670,0.00047225733618721637
359,0.00046576117853322637
413,0.0004478240663606057
697,0.0004436898710094841
123,0.00040627548579443847
156,0.0003829628707834952
583,0.00037473654664047835
107,0.00037007774567882046
